  LNbase  r0mort_c   gamma_LN   K0SOM4   K0SOM5
0.001934      0.02  42.750021 2.393121 0.060319
0.004835      0.02  93.736249 2.197292 0.064275
0.002415      0.02  91.760308 2.423650 0.029914
0.001209      0.02  58.478172 1.183955 0.067553
0.003980      0.02 104.672170 1.588156 0.029507
0.003427      0.02  60.677556 2.548986 0.062849
0.004893      0.02  92.298845 2.618842 0.032462
0.003350      0.02  91.088215 2.399014 0.039872
0.003137      0.02  54.840297 1.663751 0.033694
0.001789      0.02  63.436155 2.343398 0.069827
